date,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod,opec_tot_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons,non-oecd_cons,world_cons
2011-09-30,81.17800000000001,107.69199999999998,81.448,81.658,81.882,82.1,8.664,1010.295,695.953,5.21,34.3585778,32.1709445,2.8920894333333336,54.91064031973333,46.2249753837,42.991444466299995,89.21641985
2011-10-07,79.434,104.032,79.706,79.9,80.05,80.218,9.05,1011.531,695.956,5.301,34.51781261290322,32.26596435483871,2.8326685161290324,54.96161725074194,46.28871981416129,43.284581128709675,89.57330094287096
2011-10-14,85.348,111.58599999999998,85.564,85.76599999999999,85.902,86.07000000000001,7.885,1006.797,695.951,5.316,34.71428816129032,32.37975093548387,2.7536344516129034,54.99345719377419,46.39162442851613,43.633030365870965,90.02465479438709
2011-10-21,86.818,111.47200000000001,86.70599999999999,86.99600000000001,87.138,87.30199999999999,9.337,1011.532,695.951,5.316,34.91076370967742,32.49353751612903,2.674600387096774,55.02529713680645,46.49452904287097,43.981479603032255,90.47600864590322
2011-10-28,92.316,111.33400000000002,92.38399999999999,92.262,92.14000000000001,92.00399999999999,8.918,1013.358,695.951,5.274,35.10723925806451,32.60732409677419,2.595566322580645,55.05713707983871,46.59743365722581,44.329928840193546,90.92736249741935
2011-11-04,93.244,109.84,93.244,93.116,92.99199999999999,92.88600000000001,8.582,1011.77,695.951,5.286,35.2190954,32.6706334,2.5503636,55.1074529158,46.7067697386,44.4443463239,91.1511160625
2011-11-11,96.96600000000001,114.68000000000002,96.96600000000001,96.872,96.778,96.702,8.529,1010.713,695.95,5.302,35.218125666666666,32.66663966666667,2.550269333333333,55.182403275666665,46.82468110933333,44.24672146966667,91.071402579
2011-11-18,99.31800000000001,110.69000000000001,99.266,99.37,99.30199999999999,99.252,8.283,1004.495,695.951,5.302,35.21715593333333,32.66264593333333,2.5501750666666667,55.257353635533335,46.94259248006667,44.049096615433335,90.9916890955
2011-11-25,96.88999999999999,106.66499999999999,96.9675,97.11500000000001,97.2525,97.325,9.025,1008.427,695.951,5.258,35.2161862,32.6586522,2.5500808,55.332303995400004,47.0605038508,43.8514717612,90.911975612
2011-12-02,99.90599999999999,110.054,99.904,100.01799999999999,100.12,100.132,9.4,1009.576,695.951,5.258,35.22533529032258,32.653894483870964,2.5419558387096775,55.39823290293548,47.09924200232258,43.64377829741935,90.74302029974194
