date,Cana Woodford,DJ-Niobrara,Eagle Ford,Permian,Williston,Total US RigCount,wti_spot_lag_15,wti_spot_lag_9,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import_smooth,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod_smooth,usa_l48_prod,opec_tot_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons_smooth,oecd_cons,non-oecd_cons_smooth,non-oecd_cons,world_cons_smooth,world_cons,rig_change_4bin_week+4,rig_change_4bin_week+8
2019-08-23,44.0,25.0,58.0,434.0,48.0,754.0,62.104,54.754,55.496,59.574,55.55,55.388000000000005,55.06,54.66,4.409500000000015,2.909,1072.569,644.818,11.949999999999989,12.1,33.20821967741936,30.294193548387092,2.156290322580645,66.55767298045161,54.754,47.68511014216129,54.754,54.25392017112904,54.754,101.9390303132903,--,--
2019-08-16,45.0,30.0,58.0,441.0,48.0,770.0,61.81399999999999,52.52200000000001,55.306000000000004,58.252,55.31999999999999,55.286,54.982000000000006,54.618,4.704500000000015,4.415,1082.596,644.818,11.87499999999999,12.0,33.655993870967734,30.84967741935484,2.3595161290322584,66.58578112458065,52.52200000000001,48.00683763306453,52.52200000000001,54.14960554745162,52.52200000000001,102.15644318051613,--,--
2019-08-09,43.0,29.0,57.0,444.0,47.0,764.0,62.9,52.972,53.276,57.328,53.29,53.206,53.062,52.892,4.534750000000015,5.031000000000001,1085.328,644.818,11.574999999999989,11.9,34.10376806451613,31.405161290322575,2.5627419354838707,66.61388926870968,52.972,48.32856512396774,52.972,54.0452909237742,52.972,102.37385604774192,--,--
2019-08-02,46.0,29.0,57.0,442.0,47.0,770.0,65.27600000000001,57.222,56.54600000000001,62.586000000000006,56.622,56.676,56.68400000000001,56.596,4.351500000000016,5.2829999999999995,1083.748,644.818,11.474999999999989,11.8,34.551542258064515,31.960645161290326,2.765967741935484,66.64199741283872,57.222,48.65029261487097,57.222,53.94097630009677,57.222,102.59126891496773,--,--
2019-07-26,47.0,29.0,57.0,443.0,47.0,776.0,63.8,60.722,56.054,62.8,56.218,56.312,56.386,56.386,4.094250000000015,4.0889999999999995,1081.363,644.818,11.49999999999999,11.8,34.57583258064516,32.03225806451613,2.833709677419354,66.4579782875484,60.722,48.62169506841936,60.722,54.009218851387104,60.722,102.63091391980646,--,--
2019-07-19,47.0,27.0,58.0,440.0,55.0,779.0,64.102,62.104,56.74800000000001,63.62800000000001,56.98199999999999,57.104,57.111999999999995,57.07000000000001,4.220750000000015,3.736,1089.859,644.818,11.499999999999988,10.8,34.52954225806452,32.02322580645161,2.8788709677419355,66.23860461735484,62.104,48.534710015741936,62.104,54.10622093183871,62.104,102.64093094758064,-,--
2019-07-12,46.0,27.0,60.0,437.0,55.0,784.0,62.36,61.81399999999999,59.023999999999994,65.97800000000001,59.266000000000005,59.36,59.31999999999999,59.21999999999999,4.0082500000000145,4.298,1100.694,644.818,11.699999999999989,11.5,34.48325193548387,32.014193548387105,2.9240322580645164,66.01923094716129,61.81399999999999,48.44772496306453,61.81399999999999,54.203223012290316,61.81399999999999,102.65094797535484,--,--
2019-07-05,45.0,26.0,64.0,443.0,55.0,788.0,59.49,62.9,57.32333333333333,63.84,57.50600000000001,57.59000000000001,57.54200000000001,57.44600000000001,3.9450000000000154,4.254,1103.81,644.818,11.74999999999999,11.9,34.436961612903225,32.00516129032258,2.9691935483870964,65.79985727696774,62.9,48.3607399103871,62.9,54.300225092741925,62.9,102.66096500312905,--,--
2019-06-28,49.0,26.0,64.0,441.0,55.0,793.0,59.43600000000001,65.27600000000001,58.38200000000001,66.50999999999999,58.602,58.652,58.542,58.37000000000001,4.003750000000016,4.595,1113.309,644.818,11.724999999999989,11.8,34.46141,32.01,2.963,65.6788410978,65.27600000000001,48.1916814396,65.27600000000001,54.3643514787,65.27600000000001,102.5560329183,--,--
2019-06-21,45.0,28.0,65.0,439.0,56.0,789.0,57.81,63.8,54.754,64.038,54.733999999999995,54.964,55.016000000000005,54.956,4.012250000000016,2.886,1114.394,644.818,11.74999999999999,11.6,34.58017666666667,32.03333333333333,2.888333333333333,65.68896824000001,63.8,47.91319174466667,63.8,54.38464360533333,63.8,102.29783535,-,-
2019-06-14,44.0,28.0,65.0,441.0,56.0,788.0,56.348,64.102,52.52200000000001,63.188,52.492,52.736,52.902,52.956,4.177000000000016,4.045,1127.182,644.818,11.79999999999999,11.7,34.69894333333333,32.056666666666665,2.8136666666666668,65.6990953822,64.102,47.63470204973334,64.102,54.40493573196667,64.102,102.0396377817,-,-
2019-06-07,44.0,28.0,66.0,446.0,56.0,789.0,56.122,62.36,52.972,63.146,52.99800000000001,53.146,53.234,53.222,4.171000000000016,4.489,1130.288,644.818,11.799999999999992,11.8,34.817710000000005,32.08,2.739,65.70922252439999,62.36,47.35621235479999,62.36,54.425227858599996,62.36,101.7814402134,-,-
2019-05-31,45.0,28.0,68.0,452.0,57.0,800.0,56.512,59.49,57.222,69.02799999999999,57.333999999999996,57.478,57.54200000000001,57.51000000000001,4.115000000000016,4.629,1128.0819999999999,644.818,11.749999999999993,11.9,34.914639032258066,32.10064516129032,2.678548387096774,65.71209833629032,59.49,47.096284955,59.49,54.429658442,59.49,101.525943397,-,-
