,n_splits,train_size,rmse_tr,r2_tr,mae_tr,rmse_tt,r2_tt,mae_tt
1310,8.0,24.0,2.5652495593484983,0.9694117009394083,1.9881340927099014,540.2917235756918,-5.140898280506967,486.0137399201181
435,4.0,13.0,6.340971702793508e-14,1.0,4.809827749760678e-14,544.194743974351,-3.122211563023024,439.9424583678287
1524,9.0,22.0,2.4426441244778125,0.9907877379421317,1.9413317885455013,547.4885286905247,-1.581423390991126,417.2541695350372
651,5.0,13.0,9.228602679310912e-14,1.0,6.73375884966495e-14,551.9996829109654,-0.38654693530190887,457.1072658900495
1309,8.0,23.0,2.243140994233438,0.9824398067687986,1.741248564315942,566.7285444426589,-5.4980177573007145,504.8149864629097
446,4.0,24.0,2.358310524864497,0.9847094214462953,1.9343955227046505,581.3560559507774,-1.7831155265509027,496.82210754081666
1093,7.0,23.0,1.8500860174296836,0.9809934103938558,1.4500642011677554,582.5092704676739,-2.983461314453644,439.89287088461185
2595,14.0,13.0,5.863372940049715e-14,1.0,4.075860528206289e-14,670.206718339629,-3.495285330849913,600.7486223039879
445,4.0,23.0,2.2856043643492914,0.9845289535421097,1.8667417221667717,772.25182993205,-1.7292565404100129,665.522588416221
444,4.0,22.0,2.253742585311082,0.984513825485736,1.8051955028914586,846.1963967146925,-1.446247803618159,740.0477050676524
219,3.0,13.0,8.164261534373979e-14,1.0,6.413103666347571e-14,867.5629859222421,-4.095721024034759,754.946545776165
14,2.0,24.0,1.8741591489444298,0.9885781058408715,1.5197232457501997,990.9583625929183,-0.07372663601803531,763.2019120363021
2163,12.0,13.0,1.0292482379397425e-13,1.0,7.524465381254394e-14,1022.6688807516178,-2.0913278665488644,819.4454510724286
2812,15.0,14.0,1.7469062423916112e-13,1.0,1.3073986337985842e-13,1147.1032443444049,-2.1106932987313725,1000.2982400271244
13,2.0,23.0,1.652502351345501,0.989949313849491,1.3775874420938186,1174.2721863892718,-0.13956057893587337,921.4557024831367
3027,16.0,13.0,1.329548863967686e-13,1.0,1.0179891118101435e-13,1357.50729800221,-2.7545642790853195,1201.0489603744177
12,2.0,22.0,1.5428344506856113,0.990582568442302,1.2315340783300042,1360.7135386380583,-0.43366356089437597,989.6202362169865
436,4.0,14.0,3.1644318022273027e-13,1.0,2.1113269862585835e-13,1466.7377131511043,-2.373639326804449,1240.957967229391
229,3.0,23.0,1.640015348711006,0.9957399244893562,1.294186806234775,1727.6146688573617,-1.390556480927725,1451.9679805090473
9075,44.0,13.0,1.0698692597318017e-13,1.0,8.27536104203753e-14,1917.7993572807368,-8.703768266415368,1603.410526682772
