date,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod,opec_tot_prod,opec_crud_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons,non-oecd_cons,world_cons
2010-11-27,84.49000000000001,,,,,,8.498714285714286,1064.6154285714285,726.548,4.956428571428572,34.466993933333335,29.45259353333333,33.38927126666667,3.9366777333333336,54.76803006673334,48.400087828733334,43.4478203862,91.84790821493334
2010-11-28,85.11,,,,,,8.585428571428572,1064.024857142857,726.548,4.956857142857143,34.4681407,29.4537734,33.393781700000005,3.9400083,54.7622070528,48.4305835483,43.469437770400006,91.9000213187
2010-11-29,85.73,85.9,85.73,86.27,86.73,87.07,8.672142857142857,1063.4342857142856,726.548,4.957285714285715,34.469287466666664,29.454953266666667,33.398292133333335,3.9433388666666667,54.75638403886667,48.461079267866666,43.491055154600005,91.95213442246667
2010-11-30,84.12,86.02,84.11,84.65,85.08,85.38,8.758857142857144,1062.8437142857142,726.548,4.957714285714285,34.470434233333336,29.45613313333333,33.402802566666665,3.9466694333333336,54.75056102493333,48.49157498743333,43.512672538800004,92.00424752623334
2010-12-01,86.75,88.56,86.75,87.25,87.63,87.91,8.845571428571429,1062.2531428571428,726.548,4.958142857142857,34.471581,29.457313,33.407313,3.95,54.744738011,48.522070707,43.534289923,92.05636063
2010-12-02,87.98,89.37,88.0,88.42,88.75,88.96,8.932285714285715,1061.6625714285713,726.548,4.958571428571428,34.494020870967745,29.476355096774192,33.41829058064516,3.9419354838709677,54.74542898774194,48.44424785590322,43.47390243835484,91.91815029425806
2010-12-03,89.18,90.65,89.19,89.59,89.87,90.02,9.019,1061.072,726.548,4.959,34.51646074193548,29.495397193548385,33.429268161290324,3.9338709677419357,54.746119964483874,48.36642500480645,43.41351495370968,91.77993995851614
2010-12-04,89.23,,,,,,8.824428571428571,1059.6642857142856,726.548,4.962428571428571,34.53890061290323,29.51443929032258,33.440245741935485,3.925806451612903,54.74681094122581,48.288602153709675,43.35312746906452,91.64172962277419
2010-12-05,89.28,,,,,,8.629857142857142,1058.2565714285713,726.548,4.965857142857143,34.56134048387097,29.533481387096774,33.451223322580645,3.917741935483871,54.747501917967746,48.2107793026129,43.292739984419356,91.50351928703225
2010-12-06,89.33,91.25,89.38,89.74,89.98,90.11,8.435285714285714,1056.848857142857,726.548,4.969285714285714,34.58378035483871,29.552523483870967,33.462200903225806,3.9096774193548387,54.74819289470968,48.13295645151613,43.232352499774194,91.36530895129033
2010-12-07,88.69,90.78,88.69,89.22,89.67,89.97,8.240714285714287,1055.441142857143,726.548,4.972714285714285,34.60622022580645,29.57156558064516,33.47317848387097,3.9016129032258067,54.74888387145162,48.05513360041935,43.17196501512903,91.22709861554839
2010-12-08,88.3,89.74,88.28,88.82,89.29,89.63,8.046142857142858,1054.0334285714287,726.548,4.9761428571428565,34.6286600967742,29.590607677419353,33.48415606451613,3.893548387096774,54.749574848193554,47.97731074932258,43.11157753048387,91.08888827980644
2010-12-09,88.35,89.93,88.37,88.88,89.34,89.68,7.851571428571429,1052.6257142857144,726.548,4.979571428571428,34.651099967741935,29.60964977419355,33.495133645161296,3.885483870967742,54.75026582493548,47.89948789822581,43.051190045838716,90.95067794406452
2010-12-10,87.81,89.54,87.79,88.31,88.79,89.17,7.657,1051.218,726.548,4.983,34.67353983870968,29.628691870967742,33.50611122580646,3.8774193548387097,54.75095680167742,47.82166504712903,42.990802561193554,90.81246760832258
2010-12-11,88.08,,,,,,7.807142857142857,1050.4558571428572,726.5477142857143,4.983,34.69597970967742,29.647733967741935,33.51708880645162,3.8693548387096777,54.751647778419354,47.743842196032254,42.93041507654839,90.67425727258065
