date,Total US RigCount,wti_spot_lag_14__benford_correlation,oecd_cons_smooth__benford_correlation,wti_fut_4__benford_correlation,wti_spot__benford_correlation,usa_net_import__benford_correlation,opec_surp_capac__range_count__max_1__min_-1,usa_l48_prod__abs_energy,brent_spot__benford_correlation,opec_surp_capac__abs_energy,wti_spot_lag_14,brent_spot,usa_net_import,usa_l48_prod,opec_surp_capac
2018-09-21,866.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.24168999331500296,-0.14527956152245,0.0,112.36,-0.24168999331500296,1.4320111111111113,66.20599999999999,78.96600000000002,5.162000000000001,10.6,1.1966666666666668
2018-09-14,867.0,-0.20094583070946112,-0.24168999331500296,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,0.0,110.25,-0.24168999331500296,1.554593361111112,65.35,78.10799999999998,5.657,10.5,1.2468333333333337
2018-09-07,860.0,-0.20094583070946112,-0.24168999331500296,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,0.0,108.16000000000001,-0.24168999331500296,1.6822090000000003,66.9575,76.64399999999998,5.763,10.4,1.2970000000000002
2018-08-31,862.0,-0.24168999331500296,-0.24168999331500296,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,112.36,-0.24168999331500296,1.8020897242455778,70.97800000000002,76.07600000000002,6.206,10.6,1.3424193548387098
2018-08-24,860.0,-0.24168999331500296,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,0.0,110.25,-0.24168999331500296,1.847845577523413,71.296,72.77199999999998,5.706,10.5,1.3593548387096774
2018-08-17,869.0,-0.24168999331500296,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,112.36,-0.20094583070946112,1.894175052029136,70.556,69.82399999999998,6.363,10.6,1.376290322580645
2018-08-10,869.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.24168999331500296,0.0,110.25,-0.24168999331500296,1.9410781477627475,68.38199999999999,71.416,7.4220000000000015,10.5,1.393225806451613
2018-08-03,859.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,110.25,-0.24168999331500296,1.9885548647242455,67.91199999999999,73.372,6.081,10.5,1.4101612903225806
2018-07-27,861.0,-0.20094583070946112,-0.24168999331500296,-0.20094583070946112,-0.24168999331500296,-0.20094583070946112,0.0,112.36,-0.24168999331500296,2.0118219562955257,67.546,74.0,6.439,10.6,1.4183870967741936
2018-07-20,858.0,-0.20094583070946112,-0.24168999331500296,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,0.0,112.36,-0.24168999331500296,2.0252962424557746,66.02199999999999,71.27000000000002,5.087,10.6,1.4231290322580643
