date,Total US RigCount,wti_spot_lag_15,wti_spot_lag_9,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import_smooth,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod_smooth,usa_l48_prod,opec_tot_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons_smooth,oecd_cons,non-oecd_cons_smooth,non-oecd_cons,world_cons_smooth,world_cons,rig_change_4bin_week+4,rig_change_4bin_week+8,rig_pct_change_week+4,rig_pct_change_week+8
2020-02-28,678.0,56.9,61.26600000000001,48.362,54.09200000000001,48.382,48.55,48.66,48.72599999999999,2.9087500000000146,2.084,1079.086,634.967,12.524999999999993,12.6,33.406854827586216,31.22827586206897,3.096551724137931,67.16479418782761,61.26600000000001,43.27514565875863,61.26600000000001,48.46842756675861,61.26600000000001,91.74357322551724,--,--,-0.07964601769911504,-0.4424778761061947
2020-02-21,679.0,56.854,60.75,52.914,58.614,52.91,53.096000000000004,53.30400000000001,53.428,3.1882500000000147,2.56,1078.302,634.967,12.47499999999999,12.5,33.38006172413793,31.22224137931035,3.119482758620689,67.12355140872414,60.75,44.20149094841379,60.75,48.96227371941379,60.75,93.16376466782759,--,--,-0.02209131075110457,-0.3549337260677467
2020-02-14,678.0,56.69,59.24800000000001,50.832,55.328,50.83000000000001,51.06800000000001,51.338,51.556000000000004,3.3360000000000145,2.983,1077.85,634.967,12.47499999999999,12.5,33.35326862068965,31.21620689655173,3.142413793103448,67.0823086296207,59.24800000000001,45.12783623806897,59.24800000000001,49.45611987206896,59.24800000000001,94.58395611013792,+,--,0.007374631268436578,-0.2566371681415929
2020-02-07,676.0,55.17,57.64,50.36,54.59400000000001,50.348,50.538,50.756,50.93999999999999,3.344750000000015,4.008,1077.435,634.967,12.47499999999999,12.5,33.326475517241384,31.210172413793106,3.165344827586207,67.04106585051724,57.64,46.05418152772414,57.64,49.949966024724134,57.64,96.00414755244827,+,--,0.008875739644970414,-0.16863905325443787
2020-01-31,675.0,55.20399999999999,58.07,52.69600000000001,58.572,52.73,52.803999999999995,52.81399999999999,52.728,3.1105000000000147,3.202,1069.976,634.967,12.47499999999999,12.4,33.32415516129033,31.22554838709677,3.1845806451612906,67.0208857536129,58.07,46.821007516548384,58.07,50.380846100774185,58.07,97.20185361732256,+,--,0.004444444444444445,-0.07555555555555556
2020-01-24,676.0,53.488,56.9,56.1525,62.2,56.67999999999999,56.706,56.63399999999999,56.428,3.226500000000016,3.151,1066.621,634.967,12.47499999999999,12.5,33.46867129032258,31.3693870967742,3.1816451612903225,67.12708174990323,56.9,46.63071770038711,56.9,50.433929717193536,56.9,97.06464741758064,+,-,0.004437869822485207,-0.017751479289940832
2020-01-17,673.0,53.27200000000001,56.854,58.288,64.112,58.236000000000004,58.258,58.17800000000001,57.986000000000004,2.911250000000016,3.018,1063.073,634.967,12.44999999999999,12.5,33.613187419354844,31.51322580645161,3.178709677419355,67.23327774619354,56.854,46.44042788422582,56.854,50.4870133336129,56.854,96.9274412178387,+,+,0.007429420505200594,0.014858841010401188
2020-01-10,659.0,53.122,56.69,60.84,67.92999999999999,60.83600000000001,60.688,60.44600000000001,60.11600000000001,3.009750000000016,3.071,1063.478,634.967,12.42499999999999,12.5,33.757703548387106,31.657064516129036,3.1757741935483867,67.33947374248389,56.69,46.25013806806453,56.69,50.54009695003225,56.69,96.7902350180968,+,+,0.025796661608497726,0.03490136570561457
2020-01-03,670.0,56.896,55.17,61.622,67.994,61.60600000000001,61.35,61.008,60.572,2.978500000000016,3.666,1066.027,634.967,12.374999999999991,12.4,33.90221967741936,31.80090322580645,3.1728387096774195,67.44566973877419,55.17,46.05984825190322,55.17,50.593180566451615,55.17,96.65302881835484,+,+,0.00746268656716418,0.011940298507462687
2019-12-27,677.0,59.33200000000001,55.20399999999999,61.26600000000001,68.83599999999998,61.228,61.048,60.74800000000001,60.343999999999994,2.9337500000000163,1.89,1064.863,634.967,12.34999999999999,12.4,33.998993870967745,31.80796774193548,3.100064516129033,67.47606205554838,55.20399999999999,46.277330720741936,55.20399999999999,51.287041920451614,55.20399999999999,97.56437264119356,-,+,-0.0014771048744460858,0.0029542097488921715
